time (seconds),Time
2.001,1
3.027,2
4.052,3
5.081,4
6.111,1
7.137,2
8.173,3
9.197,4
10.225,5
11.253,6
12.289,7
13.317,1
14.344,2
15.374,3
16.397,4
17.424,5
18.454,1
19.484,2
20.515,3
21.543,4
22.571,5
23.608,6
24.63,7
25.654,8
26.685,9
27.71,10
28.735,11
29.757,12
30.781,13
31.813,14
32.84,15
33.867,1
34.894,1
35.923,2
36.948,3
37.969,4
38.995,5
40.023,6
41.049,1
42.074,2
43.101,3
44.136,4
45.169,5
46.192,6
47.23,7
48.256,8
49.292,9
50.318,10
51.346,11
52.377,12
53.402,13
54.425,14
55.455,15
56.478,1
57.501,2
58.53,3
59.557,4
60.584,5
61.613,6
62.641,7
63.664,8
64.693,9
65.722,10
66.749,11
67.775,12
68.8,13
69.826,14
70.853,15
71.879,16
72.909,17
73.939,18
74.962,19
75.991,20
77.016,21
78.04,22
79.068,23
80.096,24
81.124,25
82.148,1
83.179,2
84.203,3
85.232,4
86.258,5
87.285,6
88.314,7
89.341,8
90.378,9
91.406,10
92.433,11
93.458,12
94.487,13
95.523,14
96.553,1
97.579,2
98.604,3
99.63,4
100.656,5
101.68,6
102.706,7
103.731,8
104.757,9
105.784,10
106.81,11
107.838,12
108.87,13
109.898,14
110.927,1
111.957,2
112.984,3
114.009,4
115.039,5
116.07,6
117.099,7
118.126,8
119.155,9
120.18,1
